Date,checkins,1st of Month,15th of Month,JewishHoliday,CNY15Days,CNY7Days,CNY,SuperBowl,Valentines,Holloween,NY,MLK,Pres Day,Easter,Memorial,MotherDay,FatherDay,July 4th,LaborDay,ColumbusDay,VeteransDay,ThxGiving,Xmas,LongWKend,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Sun,Mon,Tue,Wed,Thu,Fri,2010,2011,2012,Casino,SE,Seg 0-3,FIT,WS,Group,FIT ADR
2010-02-14,1255,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1326,381,690,1078,280,545,153.19
2010-02-15,3232,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,722,229,369,274,165,2105,265.32
2010-02-16,520,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,617,172,332,250,175,2179,246.33
2010-02-17,610,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,575,167,363,268,144,2038,216.93
2010-02-18,1420,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,892,190,363,901,232,476,120.41
2010-02-19,1471,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1372,496,718,1104,271,471,167.1
2010-02-20,877,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1383,544,763,944,330,567,109.59
2010-02-21,1165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1139,450,580,990,289,615,123.23
2010-02-22,1143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,909,317,291,1168,294,758,165.46
2010-02-23,701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,834,270,226,1144,329,873,111.11
2010-02-24,1228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,846,260,233,1038,291,932,111.37
2010-02-25,1322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,969,290,403,993,298,880,132.08
2010-02-26,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1400,566,754,756,266,710,140.44
2010-02-27,883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1460,638,771,689,244,847,256.36
2010-02-28,1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1196,479,580,805,269,891,127.16
2010-03-01,898,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,815,150,265,798,250,1098,234.58
