Date,ActualCheckins,Predicted-MA,Predicted-Reg
6/4/11 0:00,725,981,789.0960634
6/5/11 0:00,1554,1297,1307.654861
6/6/11 0:00,773,1033,1000.914218
6/7/11 0:00,908,883,808.2497227
6/8/11 0:00,1032,984,832.507412
6/9/11 0:00,980,1284,985.9792825
6/10/11 0:00,880,1347,1330.039059
6/11/11 0:00,816,997,747.5988732
6/12/11 0:00,1459,1353,1272.9137
6/13/11 0:00,871,866,948.8077257
6/14/11 0:00,620,741,792.6045997
6/15/11 0:00,1011,985,1011.930411
6/16/11 0:00,1380,1253,1077.372304
6/17/11 0:00,1399,1171,1417.536302
6/18/11 0:00,690,762,836.014095
6/19/11 0:00,1354,1307,1375.876715
6/20/11 0:00,1357,1011,1115.307245
6/21/11 0:00,794,827,898.0695636
6/22/11 0:00,677,1034,944.2210161
6/23/11 0:00,1264,1261,986.7268627
6/24/11 0:00,1010,1156,1321.04263
6/25/11 0:00,573,744,733.5104017
6/26/11 0:00,1600,1456,1374.526878
6/27/11 0:00,1003,1000,1120.367156
6/28/11 0:00,748,774,905.8786656
6/29/11 0:00,1161,907,1030.521459
6/30/11 0:00,1237,1208,1143.89855
7/1/11 0:00,1431,1096,1518.284706
7/2/11 0:00,950,693,685.1864552
7/3/11 0:00,1012,1471,1271.739053
7/4/11 0:00,1091,1077,767.3205395
7/5/11 0:00,1212,721,1022.305241
7/6/11 0:00,954,950,1067.494117
7/7/11 0:00,1360,1294,1156.830226
7/8/11 0:00,1195,1280,1474.728815
7/9/11 0:00,855,738,803.8473553
7/10/11 0:00,1071,1322,1248.920031
7/11/11 0:00,894,1150,995.6805756
7/12/11 0:00,751,918,749.1123366
7/13/11 0:00,239,931,750.8449269
7/14/11 0:00,604,1287,852.2487522
7/15/11 0:00,2310,1212,1637.148241
7/16/11 0:00,791,793,902.051389
7/17/11 0:00,1492,1228,1507.426224
7/18/11 0:00,1226,996,1187.349299
7/19/11 0:00,1132,904,943.0039826
7/20/11 0:00,1150,785,894.3723864
7/21/11 0:00,943,1067,963.2353277
7/22/11 0:00,1047,1645,1363.081651
7/23/11 0:00,570,865,791.6063931
7/24/11 0:00,1610,1192,1415.488682
7/25/11 0:00,905,1070,1126.861029
7/26/11 0:00,900,1032,854.7447991
7/27/11 0:00,683,781,893.048534
7/28/11 0:00,1104,969,1002.164806
7/29/11 0:00,1573,1517,1350.919316
7/30/11 0:00,886,739,867.58132
7/31/11 0:00,1231,1391,1386.952458
8/1/11 0:00,957,1008,1116.960029
8/2/11 0:00,1352,928,789.4102587
8/3/11 0:00,538,691,873.62897
8/4/11 0:00,890,884,1029.353475
8/5/11 0:00,1337,1643,1420.945986
8/6/11 0:00,766,749,779.7224361
8/7/11 0:00,1373,1444,1378.832501
8/8/11 0:00,1040,1029,1143.91232
8/9/11 0:00,946,1128,952.1500573
8/10/11 0:00,1242,790,1041.74057
8/11/11 0:00,1344,979,1198.396491
8/12/11 0:00,1470,1319,1508.366681
8/13/11 0:00,642,741,929.1222795
8/14/11 0:00,1291,1405,1447.593301
8/15/11 0:00,1989,967,1183.22671
8/16/11 0:00,491,1066,822.6539583
8/17/11 0:00,628,821,903.7349665
8/18/11 0:00,1375,1113,1022.20888
8/19/11 0:00,1776,1460,1346.142794
8/20/11 0:00,885,765,754.8960938
8/21/11 0:00,832,1298,1278.837249
8/22/11 0:00,811,1329,1029.673638
8/23/11 0:00,1499,930,1002.987779
8/24/11 0:00,1011,803,1092.784024
8/25/11 0:00,1349,1203,1200.896702
8/26/11 0:00,1488,1528,1496.859818
8/27/11 0:00,834,764,908.8858707
8/28/11 0:00,1770,1165,1407.148366
8/29/11 0:00,1167,1280,1123.631785
8/30/11 0:00,525,979,913.9026195
8/31/11 0:00,931,960,1062.235008
9/1/11 0:00,1111,1356,1241.386814
9/2/11 0:00,1424,1578,1494.922923
9/3/11 0:00,888,787,735.7070412
9/4/11 0:00,929,1298,1313.260415
9/5/11 0:00,1315,1322,1141.175076
9/6/11 0:00,1383,838,1014.697312
9/7/11 0:00,1167,857,1069.757205
9/8/11 0:00,1074,1278,1145.486965
9/9/11 0:00,1285,1563,1465.056851
9/10/11 0:00,929,869,858.5631548
9/11/11 0:00,1396,1177,1416.658903
9/12/11 0:00,1178,1098,1093.206647
9/13/11 0:00,1071,1136,948.3629382
9/14/11 0:00,1498,1036,1007.522724
9/15/11 0:00,1576,1178,1193.320785
9/16/11 0:00,1063,1399,1327.443521
9/17/11 0:00,581,884,798.1831277
9/18/11 0:00,1533,1365,1408.108129
9/19/11 0:00,942,1220,1115.588972
9/20/11 0:00,627,993,929.190848
9/21/11 0:00,768,1199,1010.500308
9/22/11 0:00,1101,1254,1060.8661
9/23/11 0:00,1291,1257,1381.107948
9/24/11 0:00,929,799,890.230699
9/25/11 0:00,2126,1286,1385.46711
9/26/11 0:00,1047,1145,1063.087324
9/27/11 0:00,841,1027,883.7206309
9/28/11 0:00,2381,1144,947.8313532
9/29/11 0:00,789,1250,1033.911165
9/30/11 0:00,816,1213,1327.540209
10/1/11 0:00,1483,813,1013.180372
10/2/11 0:00,1885,1685,1372.430031
10/3/11 0:00,1061,1056,1072.42941
10/4/11 0:00,484,846,913.832798
10/5/11 0:00,1666,1549,1077.431094
10/6/11 0:00,1585,1155,1227.108704
10/7/11 0:00,1346,1057,1530.164182
10/8/11 0:00,882,998,728.6174601
10/9/11 0:00,1341,1848,1257.943454
10/10/11 0:00,1058,1017,1045.363729
10/11/11 0:00,758,651,954.7642895
10/12/11 0:00,1104,1605,1089.847344
10/13/11 0:00,1175,1158,1236.481665
10/14/11 0:00,1246,1151,1553.922322
10/15/11 0:00,729,1098,1045.052217
10/16/11 0:00,1577,1784,1392.44671
10/17/11 0:00,650,1055,1091.082058
10/18/11 0:00,906,694,913.6136191
10/19/11 0:00,1806,1717,1073.641035
10/20/11 0:00,1079,1183,1126.728835
